,index_code,con_code,trade_date,weight
0,399300.SZ,002353.SZ,20140630,0.31
1,399300.SZ,600837.SH,20140630,1.48
2,399300.SZ,000581.SZ,20140630,0.32
3,399300.SZ,000625.SZ,20140630,0.46
4,399300.SZ,600880.SH,20140630,0.16
5,399300.SZ,000917.SZ,20140630,0.22
6,399300.SZ,600060.SH,20140630,0.15
7,399300.SZ,600549.SH,20140630,0.17
8,399300.SZ,600886.SH,20140630,0.35
9,399300.SZ,000536.SZ,20140630,0.1
10,399300.SZ,002142.SZ,20140630,0.21
11,399300.SZ,002500.SZ,20140630,0.13
12,399300.SZ,002410.SZ,20140630,0.2
13,399300.SZ,600100.SH,20140630,0.27
14,399300.SZ,000963.SZ,20140630,0.23
15,399300.SZ,601288.SH,20140630,1.31
16,399300.SZ,000970.SZ,20140630,0.2
17,399300.SZ,600663.SH,20140630,0.13
18,399300.SZ,000425.SZ,20140630,0.17
19,399300.SZ,600546.SH,20140630,0.07
20,399300.SZ,600895.SH,20140630,0.1
21,399300.SZ,000758.SZ,20140630,0.12
22,399300.SZ,000063.SZ,20140630,0.52
23,399300.SZ,601088.SH,20140630,0.96
24,399300.SZ,600406.SH,20140630,0.39
25,399300.SZ,601688.SH,20140630,0.42
26,399300.SZ,601901.SH,20140630,0.4
27,399300.SZ,601333.SH,20140630,0.17
28,399300.SZ,000333.SZ,20140630,0.65
29,399300.SZ,002051.SZ,20140630,0.1
30,399300.SZ,000100.SZ,20140630,0.34
31,399300.SZ,600809.SH,20140630,0.07
32,399300.SZ,002236.SZ,20140630,0.32
33,399300.SZ,002399.SZ,20140630,0.09
34,399300.SZ,601928.SH,20140630,0.14
35,399300.SZ,000725.SZ,20140630,0.44
36,399300.SZ,600741.SH,20140630,0.2
37,399300.SZ,600208.SH,20140630,0.15
38,399300.SZ,600585.SH,20140630,0.63
39,399300.SZ,600649.SH,20140630,0.19
40,399300.SZ,000503.SZ,20140630,0.28
41,399300.SZ,000400.SZ,20140630,0.24
42,399300.SZ,600348.SH,20140630,0.14
43,399300.SZ,600252.SH,20140630,0.2
44,399300.SZ,000568.SZ,20140630,0.23
45,399300.SZ,600637.SH,20140630,0.43
