"","x"
"benchmark",2.12984338957248e-07
"金融行业",4.89478210539699e-06
"房地产",-9.08912628357229e-06
"综合行业",1.12401771143287e-05
"电力行业",4.69610446379874e-08
"机械行业",-2.51790351576004e-06
"有色金属",6.3937202738306e-07
"农林牧渔",-1.72318736362087e-05
"电子信息",5.16193664048744e-05
"酒店旅游",5.41334562545877e-06
"家电行业",-1.5518707485211e-06
"传媒娱乐",-2.50162051198038e-07
"汽车制造",-5.80172880962271e-06
"发电设备",1.05285287122511e-05
"水泥行业",8.41246570325601e-08
"商业百货",1.00646228003994e-06
"电子器件",1.94125501451669e-05
"生物制药",1.99960400285094e-06
"农药化肥",-3.47994817692506e-06
"酿酒行业",1.74092745425109e-06
"环保行业",1.10720851330699e-05
"化工行业",-1.0623464814821e-05
"钢铁行业",-2.66728369139273e-06
"化纤行业",4.53991897464446e-05
"煤炭行业",1.03986709328273e-05
"飞机制造",1.35702052990055e-05
"建筑建材",9.08163157515579e-06
"食品行业",-1.19030530327323e-07
"次新股",0
"NaN",-4.00493771602731e-06
"仪器仪表",8.78327115886953e-06
"服装鞋类",2.72442683745657e-05
"家具行业",-7.59698101740837e-06
"交通运输",1.91813424297425e-06
"其它行业",5.18158410648351e-07
"印刷包装",3.45833638979221e-05
"船舶制造",1.7871647479654e-05
"医疗器械",1.28645638492574e-05
"石油行业",3.69033338737075e-08
"物资外贸",-3.53543090068233e-06
"塑料制品",6.03610666276951e-06
"玻璃行业",-3.50027020527076e-06
"公路桥梁",7.05638200284337e-07
"电器行业",6.8729263861275e-06
"开发区",-2.27622653969472e-05
"供水供气",5.16487942381852e-06
"MOM",1.09267677780968e-06
"vol_volatility_1m",-8.90467744346687e-06
"volatility_1m",4.35857024144215e-05
"pe",1.24632907932705e-06
"circ_mv",3.39141930829721e-06
"dv_ratio",-3.22524936131066e-07
"shibor_1m",-3.78787305652332e-07
"shibor_6m",1.98699092234242e-06
"libor_1m",-9.05092877652455e-06
"libor_6m",1.95094153201002e-05
"shibor_lpr_1y",2.70589562691988e-07
