"","x"
"benchmark",0.000124012653728539
"金融行业",-1.63251848776276e-05
"房地产",6.09307710374958e-05
"综合行业",-6.87044729109068e-05
"电力行业",4.46396935271863e-05
"机械行业",0.000161816719742849
"有色金属",4.93946902087213e-05
"农林牧渔",8.52328158464522e-06
"电子信息",8.24741185424679e-05
"酒店旅游",1.80011473994917e-05
"家电行业",8.64108843551248e-05
"传媒娱乐",-0.000101072031546003
"汽车制造",-6.64288826219652e-05
"发电设备",0.00016579190380519
"水泥行业",2.50185108325127e-05
"商业百货",3.81058536351877e-05
"电子器件",-1.3340122510526e-05
"生物制药",5.10458630853859e-05
"农药化肥",-3.88511709202795e-05
"酿酒行业",0.000170786119046495
"环保行业",-1.65800172531314e-05
"化工行业",-2.48966822764313e-05
"钢铁行业",2.64830169354259e-05
"化纤行业",5.54091492216488e-05
"煤炭行业",-7.60203409176018e-06
"飞机制造",3.98593194134274e-05
"建筑建材",4.8189557416755e-06
"食品行业",0.000144945409418873
"次新股",0
"NaN",6.29217961657994e-06
"仪器仪表",6.65167169616321e-05
"服装鞋类",8.42322953562614e-07
"家具行业",-3.18888137417758e-05
"交通运输",-3.49491129567437e-05
"其它行业",0.000185312247307767
"印刷包装",2.14137112021372e-05
"船舶制造",5.48145995970612e-06
"医疗器械",-2.3795651682348e-05
"石油行业",-1.44103365153539e-06
"物资外贸",7.31877539308321e-06
"塑料制品",0.000407723010007126
"玻璃行业",-2.64963597459704e-06
"公路桥梁",0.000102849052719765
"电器行业",0.000177853793260883
"开发区",7.88251382843064e-05
"供水供气",6.01872038762644e-05
"MOM",1.05835954381268e-05
"vol_volatility_1m",9.08887659589071e-05
"volatility_1m",0.00018759296253754
"pe",7.42682157739131e-05
"circ_mv",-1.99863220401583e-06
"dv_ratio",-8.36032487764575e-07
"shibor_1m",0.000292925145724001
"shibor_6m",-0.00010836646971443
"libor_1m",-3.85316109341502e-05
"libor_6m",7.05934508887559e-05
"shibor_lpr_1y",4.4038252426486e-05
