"","benchmark","金融行业","房地产","综合行业","电力行业","机械行业","有色金属","农林牧渔","电子信息","酒店旅游","家电行业","传媒娱乐","汽车制造","发电设备","水泥行业","商业百货","电子器件","生物制药","农药化肥","酿酒行业","环保行业","化工行业","钢铁行业","化纤行业","煤炭行业","飞机制造","建筑建材","食品行业","次新股","NaN","仪器仪表","服装鞋类","家具行业","交通运输","其它行业","印刷包装","船舶制造","医疗器械","石油行业","物资外贸","塑料制品","玻璃行业","公路桥梁","电器行业","开发区","供水供气","MOM","vol_volatility_1m","volatility_1m","pe","circ_mv","dv_ratio","shibor_1m","shibor_6m","libor_1m","libor_6m","shibor_lpr_1y"
"benchmark",0.000171898205200847,-3.43342203055604e-20,3.04293894459114e-19,7.95141524027084e-20,-1.79882341208481e-20,-1.39930919623208e-20,2.85413763357788e-21,5.33253898891134e-21,-1.90584656333879e-20,2.28034908066958e-20,5.31288854235957e-20,5.7603175456947e-21,-2.23938611533522e-20,2.33669830639793e-20,7.67791848573797e-20,2.88323195912314e-20,6.76424001713058e-20,-2.67735091066181e-20,3.7802434393881e-21,2.90928674641752e-20,-3.99675726372334e-20,-2.68232100434231e-20,4.28333749194493e-20,2.64226723668125e-20,-9.82455031538575e-21,-9.20968874006159e-21,2.86713698720431e-20,3.54852070779019e-21,0,4.65311806977897e-20,-1.8913779126243e-20,-1.19630505390118e-20,-6.67801134527556e-21,1.20083071325257e-20,6.47892719784755e-22,8.59174276245333e-21,4.23500771215522e-20,-1.0004679408777e-22,7.12768355027185e-20,-8.02774578479599e-21,2.2309313480742e-20,-4.85424353071865e-20,-3.54726451485995e-20,-9.30767178862109e-20,6.37084974181282e-20,1.79231812726744e-21,-2.2909201684978e-20,3.04125710414568e-20,1.76669760979465e-19,-8.5479162099984e-20,-1.55015721753974e-19,-1.10815564062379e-21,2.34041529155048e-19,-1.44265233872903e-19,3.98064042058831e-19,-3.88616237462437e-19,-2.25433747500717e-19
"金融行业",-3.43342203055604e-20,0.00282577574350441,-0.0285743740425118,0.000554419740058242,0.000742838794044739,0.000752391565159667,0.000665991957332495,5.57690061332257e-05,0.000525819860452224,0.000321184681144287,0.00147935565719762,0.000293747443892128,0.000742990199587923,0.000423581585289672,0.00101600211228362,0.0007200056666972,0.000642221867913325,0.0011334100785668,0.000743489828243547,0.000655812825681961,-0.000754753946164632,0.000213942154481864,0.000605986214984444,0.000789394066492318,0.00066158365896158,0.000229384913186297,0.000813542969201573,0.000148310140910397,0,0.000334607798423136,4.85998454739209e-05,0.000300008230541659,-0.000179793480603102,0.000716496125883817,0.000975689883244112,0.000828454064987907,0.000800204330969751,0.000811900462274005,0.000418559826570241,0.000346085731535996,0.00119451637057748,0.00128440080562825,0.0024056812797562,9.56810031074414e-05,0.000592783093872847,0.000598299885031213,8.90685651580489e-19,-6.33102169631891e-19,-2.11978115440402e-18,-1.54080699221561e-18,-1.4784614641268e-18,-2.23612750040212e-18,-3.42392305852975e-17,6.63097634148468e-17,-1.99380746916458e-16,1.86349828077856e-16,-1.73557746284921e-18
"房地产",3.04293894459114e-19,-0.0285743740425118,1.03321800880313,-0.0358970150082408,-0.0349691401736409,-0.021904227583383,-0.01353983700663,0.000532492730163987,-0.0341631377928805,-0.0145774882211738,-0.0311287482197676,-0.0239112316291201,-0.0266297540522985,-0.022135704895944,-0.0313671308777388,-0.0253919168828709,-0.0322418393734656,-0.0330718255987397,-0.0166263640074141,-0.0242369856740119,-0.00132297878012043,-0.0177931410211133,-0.0210621698262399,-0.0375322503493508,-0.0203272993839343,-0.0142361822713418,-0.0315885908114264,-0.00538181195085944,0,-0.0316103460938752,-0.0206294148257844,-0.0244074025060606,-0.0070606404015352,-0.0246061863011608,-0.025026096354128,-0.00758744489097594,-0.0277395163015194,-0.0152300888278414,-0.0253546093635258,-0.00912842778127848,-0.0297785657269232,-0.045811524200716,-0.0725912213044147,-0.0144046191531081,-0.0214704183513415,-0.0317028337148852,-3.8422997066227e-17,4.06020202792216e-17,8.60380565229028e-17,6.53748881486225e-17,3.20915502831933e-17,7.29807461363574e-17,9.970694131949e-16,-2.27169448384522e-15,7.0236981831972e-15,-6.71898574376014e-15,4.60843640885081e-17
"综合行业",7.95141524027084e-20,0.000554419740058242,-0.0358970150082408,0.00257044514328848,0.000923524207235568,0.000330925027184236,0.000533534216311647,4.52686721795022e-06,0.00151009276234705,0.00052145450731278,0.000732020606029084,0.000792916582169901,0.000996372028038629,0.000824063908378333,0.000930478842266857,0.000785821033375153,0.00119393105712245,0.000749970427614452,0.00106835798975913,0.00103372023118311,-1.11673964060218e-05,0.00128306147623743,0.00105190886474509,0.0014630961675797,0.000585122194346767,0.000723821324322076,0.00109865728251988,0.00013491510581707,0,0.00091617105132561,0.000394892629529157,0.00109597144097979,0.00026105060524494,0.000629279870517115,0.0008971812087463,-2.75003032169783e-06,0.000966066968707519,-0.000383678653775574,0.000871926093140547,0.000427462350994291,0.00168970314501336,0.00118470411212484,0.00151361884838144,0.000563756463205149,0.00100318020712618,0.00148248850124675,2.69636877434513e-19,-1.78008566820892e-18,-3.42735222478616e-18,-2.40245142605017e-18,-5.81566854668384e-19,-2.67590240524914e-18,-1.97758668728059e-17,7.6841331189161e-17,-2.4993182888679e-16,2.40450608941571e-16,-6.2883539257621e-18
"电力行业",-1.79882341208481e-20,0.000742838794044739,-0.0349691401736409,0.000923524207235568,0.00321317330643239,0.000930932441542549,4.06626688642914e-05,1.80995044591851e-05,0.000990205730298628,0.0011646269332211,0.000813696098404072,0.000652875005485221,0.000938858817827187,0.0010221072857382,0.00109634831036692,0.000823111934144874,0.00094296410440568,0.00131019723803139,0.000722470252833868,0.00072064688819614,-0.000391223984623711,-0.000508788261287682,0.000478184650434051,0.00150976490607588,0.000957243506150795,0.000448843960661589,0.00114503775434013,0.000203191077442701,0,0.000845780960006337,0.00118602335174661,0.000701119633981147,-8.38890996752262e-05,0.000806986723146465,0.00066550504865786,0.000523769227241258,0.000717374149176472,0.000857125343861129,0.000940184308953348,3.1650034228423e-05,0.000925597882447818,0.00185235262969313,0.00261537306429602,0.000112664437043812,0.00080374128803174,0.000558188060078792,1.24763466727236e-18,-1.22933597404161e-18,-3.16514419684794e-18,-2.34358448685736e-18,-9.80947600022275e-19,-2.38295402193173e-18,-4.01297938031232e-17,7.95733437649414e-17,-2.55583281836987e-16,2.45551839237831e-16,4.0195046744885e-18
"机械行业",-1.39930919623208e-20,0.000752391565159667,-0.021904227583383,0.000330925027184236,0.000930932441542549,0.00144503464383983,0.000276243303666776,9.66872481215737e-05,0.000555904616487929,0.000243970306408228,0.000900554725071739,0.000487216778300574,0.000684053734733858,0.000293640253600907,0.000680088917156239,0.000654414422696502,0.000568735649174863,0.000920452735218235,0.000372134990037338,2.71567813382154e-05,-0.000625879260056195,-0.000239674018366447,0.000407090326943007,0.000648948916899397,0.000533540178648845,0.000332404994002106,0.000732747629309229,0.000456705720754712,0,0.000719885138491679,0.000656266833194683,0.000375965647764184,-0.000227917613337337,0.000571528867216263,0.000561797125602738,0.000281217637780873,0.000709065433359064,0.000722086575007741,0.000734629901355737,0.000592026244070772,0.000281353153906323,0.00113343799683293,0.000881127418019267,0.00042958143564278,0.000455971789213399,0.000559781371388023,9.97279229716356e-19,-4.59234076397148e-19,-1.6951050156181e-18,-1.40246650257016e-18,-9.76000443078751e-19,-1.55018368731934e-18,-2.83201338423419e-17,5.27525434809028e-17,-1.62699622858542e-16,1.57516741760297e-16,5.23969062895424e-18
"有色金属",2.85413763357788e-21,0.000665991957332495,-0.01353983700663,0.000533534216311647,4.06626688642914e-05,0.000276243303666776,0.00586921581102799,0.000121336197715398,0.000387533405616423,0.000391524004632362,0.000232055233906092,-0.0001740516263089,0.00050095004039174,0.000343211991123186,0.000660762646287549,0.000375031923978348,6.37833730863943e-05,0.000489093290106005,-0.00122475962936854,0.000219556311888189,-0.00285155917904116,-6.1129042376604e-05,0.000537045196859767,0.000465305378048212,0.000359515940257507,0.000794945648574378,0.000767422113336365,0.000311852403469304,0,0.00014461222247051,0.000394382182656242,1.09694121010234e-06,-0.000309820026448309,-0.000297755730924654,0.000388934374724059,0.000117076421200368,0.000618104859204466,-0.00111053718266455,0.000431851879400406,0.000576537972648905,-0.000127191422057714,0.000359237591215838,0.00176650516833425,-0.000161590002416377,0.000465146757963017,0.000188171420728239,4.29416430476252e-19,-6.63531200165537e-20,6.87104676952431e-19,-4.05392413645719e-19,-1.62667091948052e-18,-9.10124844615817e-19,-7.3716362173264e-19,-2.81346704154004e-18,-1.710239961718e-17,1.5950716779363e-17,-7.74405311791272e-18
"农林牧渔",5.33253898891134e-21,5.57690061332257e-05,0.000532492730163987,4.52686721795022e-06,1.80995044591851e-05,9.66872481215737e-05,0.000121336197715398,0.000297983387786788,0.000108914934362451,-5.53862389808839e-05,6.52013586228789e-05,-5.60519434298759e-05,3.45941309135253e-05,-5.77760692614386e-05,6.62213955481829e-05,3.01950078208292e-05,5.98179064587165e-06,-5.7997985706161e-05,-3.6821895556671e-05,3.16543992616563e-05,-0.00164812281321275,-8.87935088789357e-06,5.76814456487713e-05,8.47586409598741e-05,6.74998100581177e-05,-0.000122445843187051,5.22113944976497e-05,0.000217556211217731,0,-3.63184169565117e-05,-5.70935694105432e-05,2.75205151826537e-05,-7.09958608449923e-05,-0.000193425361205988,-6.80827172041174e-05,1.57467362752296e-05,0.000108283140184484,-8.19813424902576e-06,0.000108250574987612,7.02343858595707e-05,7.20883925041258e-05,-4.12443273073791e-07,0.000137172176213169,-8.86388948887254e-05,7.43069867360278e-05,3.67916915718496e-06,-3.24786887554814e-19,1.8938902984848e-19,1.13625454543191e-20,1.94580695773071e-19,-2.75722683541242e-19,-3.75970692818017e-20,1.59698371573622e-18,-3.59146994407544e-18,1.01152647642689e-18,-1.03054209690855e-18,7.34831140645365e-19
"电子信息",-1.90584656333879e-20,0.000525819860452224,-0.0341631377928805,0.00151009276234705,0.000990205730298628,0.000555904616487929,0.000387533405616423,0.000108914934362451,0.00247567395347863,0.000152530546725982,0.000797947517639235,0.000994723848135578,0.00102512550426363,0.000725795254484027,0.000959881577667592,0.000799453940630726,0.00111780801199714,0.00101060618058806,0.000584765606374264,0.00111997726603585,-0.000623649197398726,0.000840250677824672,-0.00030188835576591,0.00145813785533617,0.000533109032532679,0.000338003615292895,0.0010785944533573,0.000156356925977591,0,0.00107032355020032,0.000809058134192051,0.00103133982291508,8.60416677219e-05,0.000805076820905245,0.000623817740229754,5.07329178621227e-05,0.00102616816372939,0.000180728618803042,0.00113339175222367,-0.000191745315743916,0.00143621403900979,0.00145907667878413,0.00207441403922113,0.00042807992580966,0.00132837339958999,0.00149037031268506,1.45638970570197e-19,-1.53478691191755e-18,-2.90106112220619e-18,-2.0831765896972e-18,-1.0243544494464e-18,-2.36522005471918e-18,-3.8166541914714e-17,7.78390034278084e-17,-2.47204249326132e-16,2.39103316843939e-16,1.22671277401905e-18
"酒店旅游",2.28034908066958e-20,0.000321184681144287,-0.0145774882211738,0.00052145450731278,0.0011646269332211,0.000243970306408228,0.000391524004632362,-5.53862389808839e-05,0.000152530546725982,0.00328779802855978,0.000309747703685778,-1.53202891145087e-05,0.000418725212672761,0.000276786434434822,0.000399115091756573,0.000163983829891689,0.000496789480600298,0.000755390386651404,0.000648442212074333,0.00022179544306158,-0.00292946549595181,0.000229278451869806,0.00109559579450393,0.000562527198447421,0.00050591792158192,0.00075614633369935,0.000428329695448921,0.000240764763649908,0,-0.000266623954976991,0.00103251029824123,0.000493987150707979,-0.000182490590506922,0.000166428548572534,0.000206450708546092,1.63380349689325e-05,0.000133910953267022,0.000472036457492532,0.00040073229536745,0.000423611071422813,0.000444540123508295,-7.2905343850048e-05,0.000209690250543279,0.000278725242401103,0.00029293630646126,-6.46422689806034e-05,2.06991881923941e-19,-2.80872177274602e-19,-1.56217909604232e-19,-1.03248829866977e-18,-6.58930617878662e-19,-1.1240342557424e-18,-2.0940535156399e-17,2.73418933380843e-17,-8.9423655008204e-17,8.50461923259164e-17,6.12413973127637e-18
