"","V1"
"600000.CH",0
"600009.CH",0.106279171400806
"600010.CH",0.135958405661975
"600015.CH",0.141793563376141
"600016.CH",0.108621004163998
"600028.CH",0.126829220475084
"600029.CH",0.427461498340077
"600030.CH",0
"600031.CH",0.126874780954698
"600036.CH",0.125065863450822
"600048.CH",0.166836941762784
"600066.CH",0
"600068.CH",0.206398768066352
"600085.CH",0.148607566609411
"600089.CH",0.140105263050311
"600104.CH",0
"600109.CH",0.192601265468326
"600111.CH",0.0874649460746199
"600115.CH",0.30891928578746
"600118.CH",0.146662992837873
"600170.CH",0
"600177.CH",0
"600188.CH",0.192638686257953
"600196.CH",0
"600208.CH",0.172673156665291
"600276.CH",0.0548512669644215
"600340.CH",0.174181911199498
"600352.CH",0.119599357659272
"600362.CH",0.151696760037665
"600372.CH",0.0746788707521853
"600383.CH",0.109606303371796
"600415.CH",0.769601753300455
"600489.CH",0.114911552094593
"600519.CH",0.251569100859719
"600535.CH",0.0715471763613182
"600583.CH",0.216820694631312
"600585.CH",0.0935835650958891
"600588.CH",0
"600660.CH",0.0657893761025428
"600674.CH",0.114425980163716
"600688.CH",0.29903884648152
"600703.CH",0
"600741.CH",0
"600837.CH",0.209347189644481
"600887.CH",0
"600893.CH",0
"600999.CH",0.228718305644754
"601006.CH",0.146777972626323
"601009.CH",0
"601111.CH",0
"601166.CH",0
"601169.CH",0
"601186.CH",0.200117051159232
"601288.CH",0.100036974703975
"601318.CH",0.147613779258751
"601328.CH",0.144031690473564
"601333.CH",0.217805987626064
"601398.CH",0.107937541927563
"601601.CH",0.102218353107225
"601607.CH",0.115472770143012
"601628.CH",0.151774844659999
"601668.CH",0.220915168264524
"601688.CH",0.210022291602663
"601800.CH",0.251235839215573
"601818.CH",0.163068881636179
"601857.CH",0.105381227469886
"601899.CH",0
"601901.CH",0
"601933.CH",0
"601939.CH",0.149167153120503
"601988.CH",0.125476240087635
"601998.CH",0.158812421602997
"603993.CH",0
