"","","w1"
"1","600000.SH","0"
"2","600009.SH","0"
"3","600010.SH","0"
"4","600015.SH","0"
"5","600016.SH","0"
"6","600028.SH","0.0337423001557759"
"7","600029.SH","0"
"8","600030.SH","0"
"9","600031.SH","0"
"10","600036.SH","0"
"11","600048.SH","0"
"12","600066.SH","0"
"13","600068.SH","0"
"14","600085.SH","0"
"15","600089.SH","0"
"16","600104.SH","0.417110241991346"
"17","600109.SH","0"
"18","600111.SH","0"
"19","600115.SH","0"
"20","600118.SH","0"
"21","600170.SH","0"
"22","600177.SH","0"
"23","600188.SH","0"
"24","600196.SH","0"
"25","600208.SH","0"
"26","600276.SH","0"
"27","600340.SH","0"
"28","600352.SH","0"
"29","600362.SH","0"
"30","600372.SH","0"
"31","600383.SH","0"
"32","600415.SH","0"
"33","600489.SH","0"
"34","600519.SH","0.0756791283792745"
"35","600535.SH","0"
"36","600583.SH","0"
"37","600585.SH","0"
"38","600588.SH","0"
"39","600660.SH","0"
"40","600674.SH","0"
"41","600688.SH","0"
"42","600703.SH","0"
"43","600741.SH","0"
"44","600837.SH","0"
"45","600887.SH","0"
"46","600893.SH","0"
"47","600999.SH","0"
"48","601006.SH","0"
"49","601009.SH","0"
"50","601111.SH","0"
"51","601166.SH","0"
"52","601169.SH","0"
"53","601186.SH","0"
"54","601288.SH","0.121163897538524"
"55","601318.SH","0.0507227917251597"
"56","601328.SH","0"
"57","601333.SH","0"
"58","601398.SH","0.29029913865675"
"59","601601.SH","0"
"60","601607.SH","0"
"61","601628.SH","0"
"62","601668.SH","0"
"63","601688.SH","0"
"64","601800.SH","0"
"65","601818.SH","0"
"66","601857.SH","0"
"67","601899.SH","0"
"68","601901.SH","0"
"69","601933.SH","0"
"70","601939.SH","0"
"71","601988.SH","0.0112825015523246"
"72","601998.SH","0"
"73","603993.SH","0"
