trade_date,Ticker,Sct,Return
2019-02-28,300017.SH,电子信息,0.323247
2019-02-28,002736.SH,金融行业,0.321952
2019-02-28,002773.SH,NaN,0.082207
2019-02-28,002797.SH,NaN,0.282416
2019-02-28,002925.SH,NaN,0.202233
2019-02-28,300003.SH,医疗器械,0.247358
2019-02-28,300142.SH,生物制药,0.136858
2019-02-28,300015.SH,医疗器械,0.174661
2019-02-28,300059.SH,电子信息,0.437946
2019-02-28,300024.SH,机械行业,0.186515
2019-02-28,300033.SH,电子信息,0.593460
2019-02-28,300070.SH,环保行业,0.287170
2019-02-28,300072.SH,化工行业,0.286273
2019-02-28,300122.SH,生物制药,0.266401
2019-02-28,300124.SH,仪器仪表,0.183908
2019-02-28,002673.SH,金融行业,0.299857
2019-02-28,300136.SH,电子信息,0.281431
2019-02-28,002714.SH,农林牧渔,0.273885
2019-02-28,002558.SH,酒店旅游,0.123943
2019-02-28,002625.SH,汽车制造,0.263883
2019-02-28,002624.SH,传媒娱乐,0.163438
2019-02-28,002450.SH,化工行业,0.407416
2019-02-28,300251.SH,传媒娱乐,0.083051
2019-02-28,002422.SH,生物制药,0.112117
2019-02-28,002456.SH,电子器件,0.337061
2019-02-28,002460.SH,有色金属,0.336897
2019-02-28,002466.SH,化工行业,0.333459
2019-02-28,002468.SH,建筑建材,0.120460
2019-02-28,002475.SH,电子器件,0.256158
2019-02-28,002493.SH,化纤行业,0.064776
2019-02-28,002508.SH,家电行业,0.024322
2019-02-28,002555.SH,汽车制造,0.255078
2019-02-28,002572.SH,家具行业,0.216018
2019-02-28,002594.SH,汽车制造,0.167124
2019-02-28,002601.SH,化工行业,0.161359
2019-02-28,002602.SH,汽车制造,0.065516
2019-02-28,300144.SH,酒店旅游,0.084859
2019-02-28,600157.SH,煤炭行业,0.292660
2019-02-28,300296.SH,电子器件,0.388505
2019-02-28,600036.SH,金融行业,0.086395
2019-02-28,600048.SH,房地产,0.030204
2019-02-28,600050.SH,电子信息,0.201489
2019-02-28,600061.SH,化纤行业,0.388748
2019-02-28,600066.SH,汽车制造,0.204687
2019-02-28,600068.SH,建筑建材,0.141908
2019-02-28,600085.SH,生物制药,0.105887
2019-02-28,600089.SH,发电设备,0.127430
2019-02-28,600100.SH,电子信息,0.194084
2019-02-28,600104.SH,汽车制造,0.066888
2019-02-28,600109.SH,金融行业,0.269301
2019-02-28,600111.SH,有色金属,0.231492
2019-02-28,600115.SH,交通运输,0.155148
2019-02-28,600118.SH,飞机制造,0.238895
2019-02-28,600153.SH,物资外贸,0.104788
2019-02-28,002411.SH,化工行业,0.051940
2019-02-28,600038.SH,飞机制造,0.153578
2019-02-28,600031.SH,机械行业,0.137542
2019-02-28,300408.SH,电子器件,0.170197
2019-02-28,600030.SH,金融行业,0.265989
2019-02-28,300433.SH,电子器件,0.396596
2019-02-28,600000.SH,金融行业,0.094201
2019-02-28,600004.SH,交通运输,0.047663
2019-02-28,600009.SH,交通运输,0.154203
2019-02-28,600010.SH,钢铁行业,0.191733
2019-02-28,600011.SH,电力行业,0.073480
2019-02-28,600015.SH,金融行业,0.097699
