,Ticker,Sct
0,300017.SZ,电子信息
1,002736.SZ,金融行业
2,002773.SZ,NaN
3,002797.SZ,NaN
4,002925.SZ,NaN
5,300003.SZ,医疗器械
6,300142.SZ,生物制药
7,300015.SZ,医疗器械
8,300059.SZ,电子信息
9,300024.SZ,机械行业
10,300033.SZ,电子信息
11,300070.SZ,环保行业
12,300072.SZ,化工行业
13,300122.SZ,生物制药
14,300124.SZ,仪器仪表
15,002673.SZ,金融行业
16,300136.SZ,电子信息
17,002714.SZ,农林牧渔
18,002558.SZ,酒店旅游
19,002625.SZ,汽车制造
20,002624.SZ,传媒娱乐
21,002450.SZ,化工行业
22,300251.SZ,传媒娱乐
23,002422.SZ,生物制药
24,002456.SZ,电子器件
25,002460.SZ,有色金属
26,002466.SZ,化工行业
27,002468.SZ,建筑建材
28,002475.SZ,电子器件
29,002493.SZ,化纤行业
30,002508.SZ,家电行业
31,002555.SZ,汽车制造
32,002572.SZ,家具行业
33,002594.SZ,汽车制造
34,002601.SZ,化工行业
35,002602.SZ,汽车制造
36,300144.SZ,酒店旅游
37,600157.SH,煤炭行业
38,300296.SZ,电子器件
39,600036.SH,金融行业
40,600048.SH,房地产
41,600050.SH,电子信息
42,600061.SH,化纤行业
43,600066.SH,汽车制造
44,600068.SH,建筑建材
45,600085.SH,生物制药
46,600089.SH,发电设备
47,600100.SH,电子信息
48,600104.SH,汽车制造
49,600109.SH,金融行业
50,600111.SH,有色金属
51,600115.SH,交通运输
52,600118.SH,飞机制造
53,600153.SH,物资外贸
54,002411.SZ,化工行业
55,600038.SH,飞机制造
56,600031.SH,机械行业
57,300408.SZ,电子器件
58,600030.SH,金融行业
59,300433.SZ,电子器件
60,600000.SH,金融行业
61,600004.SH,交通运输
62,600009.SH,交通运输
63,600010.SH,钢铁行业
64,600011.SH,电力行业
65,600015.SH,金融行业
66,600016.SH,金融行业
67,600018.SH,交通运输
68,600019.SH,钢铁行业
69,600023.SH,电力行业
70,600025.SH,次新股
71,600027.SH,电力行业
72,600028.SH,石油行业
73,600029.SH,交通运输
74,002415.SZ,仪器仪表
75,000002.SZ,房地产
76,002352.SZ,其它行业
77,000553.SZ,农药化肥
78,000625.SZ,汽车制造
79,000627.SZ,化工行业
80,000630.SZ,有色金属
81,000651.SZ,家电行业
82,000671.SZ,房地产
83,000703.SZ,化纤行业
84,000709.SZ,钢铁行业
85,000725.SZ,电子器件
86,000728.SZ,金融行业
87,000768.SZ,飞机制造
88,000776.SZ,金融行业
89,000783.SZ,金融行业
90,000786.SZ,建筑建材
91,000792.SZ,农药化肥
92,000568.SZ,酿酒行业
93,000839.SZ,综合行业
94,000503.SZ,电子信息
95,000001.SZ,金融行业
96,600176.SH,玻璃行业
97,000063.SZ,电子信息
98,000069.SZ,酒店旅游
99,000100.SZ,家电行业
100,000157.SZ,机械行业
101,000166.SZ,金融行业
102,000333.SZ,家电行业
103,000338.SZ,汽车制造
104,000402.SZ,房地产
105,000408.SZ,商业百货
106,000413.SZ,电子器件
107,000415.SZ,金融行业
108,000423.SZ,生物制药
109,000425.SZ,机械行业
110,000826.SZ,环保行业
111,000858.SZ,酿酒行业
112,002311.SZ,农林牧渔
113,002065.SZ,电子信息
114,002085.SZ,汽车制造
115,002120.SZ,家具行业
116,002142.SZ,金融行业
117,002146.SZ,房地产
118,002153.SZ,电子信息
119,002179.SZ,电子器件
120,002202.SZ,发电设备
121,002230.SZ,电子信息
122,002236.SZ,仪器仪表
123,002241.SZ,电子器件
124,002252.SZ,生物制药
125,002271.SZ,建筑建材
126,002294.SZ,生物制药
127,002304.SZ,酿酒行业
128,002310.SZ,建筑建材
129,002081.SZ,建筑建材
130,002050.SZ,机械行业
131,000876.SZ,农林牧渔
132,002044.SZ,服装鞋类
133,000895.SZ,食品行业
134,000898.SZ,钢铁行业
135,000938.SZ,电子信息
136,000959.SZ,钢铁行业
137,000961.SZ,建筑建材
138,000963.SZ,生物制药
139,000983.SZ,煤炭行业
140,001965.SZ,次新股
141,001979.SZ,NaN
142,002001.SZ,生物制药
143,002007.SZ,生物制药
144,002008.SZ,仪器仪表
145,002024.SZ,商业百货
146,002027.SZ,电子信息
147,002032.SZ,家电行业
148,600170.SH,建筑建材
149,601066.SH,NaN
150,600177.SH,服装鞋类
151,601328.SH,金融行业
152,601336.SH,金融行业
153,601360.SH,NaN
154,601377.SH,金融行业
155,601390.SH,建筑建材
156,601398.SH,金融行业
157,601555.SH,金融行业
158,601600.SH,有色金属
159,601601.SH,金融行业
