,symbol,open,high,low,close,pct_chg,vol,benchmark,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,shibor_1m,shibor_6m,libor_1m,libor_6m,shibor_lpr_1y,index
747,000001.SZ,9.31,9.46,9.31,9.38,-0.09732999999999999,576604.0,0.006737,金融行业,-0.7899999999999991,205547.80313755377,1.338709578474615,6.9455,16105691.4731,1.68,3.492,3.297,2.51988,2.87313,4.31,2018-12-28
4970,000001.SZ,10.92,11.16,10.86,11.11,-0.012600000000000004,682280.1,0.003653,金融行业,-0.17999999999999972,222886.96859033458,1.566817155892684,8.4412,18795886.5023,1.15,4.0743,4.3865,1.23222,1.506,4.3,2017-09-29
15333,000001.SZ,10.14,10.16,10.1,10.14,-0.009500000000000005,483982.44,0.001303,金融行业,-0.10999999999999943,126533.59035023475,1.020184297075598,7.6061,9974426.1201,0.75,3.998,4.8,0.1565,0.3304,5.76,2014-09-30
5927,000001.SZ,9.4,9.43,9.31,9.39,0.020899999999999985,499633.49,-0.000553,金融行业,0.370000000000001,273704.37053515064,0.6324705526738987,7.1344,15885992.2823,1.36,4.4608,4.4743,1.22389,1.44767,4.3,2017-06-30
6512,000001.SZ,8.96,8.99,8.92,8.99,-0.0198,286446.36,-0.0020210000000000002,金融行业,-0.08999999999999986,128652.70328716235,0.5322724866077913,6.8305,15209272.6962,1.42,4.0237,4.3364,0.995,1.42628,4.3,2017-04-28
12773,000001.SZ,13.54,14.54,13.38,14.54,-0.0406,2548103.13,0.067147,金融行业,-1.3800000000000008,849770.6468983867,3.29667389197046,10.5064,17163095.3579,0.73,3.521,3.18,0.1865,0.44485,4.8,2015-06-30
11075,000001.SZ,12.1,12.13,11.98,11.99,0.025399999999999995,491258.92,-0.009075,金融行业,-0.08000000000000007,248071.80523443248,1.4321421018878144,8.6638,14153061.4402,0.89,3.002,3.2,0.4295,0.84615,4.3,2015-12-31
6193,000001.SZ,9.1,9.23,9.06,9.2,0.024300000000000002,1033210.95,0.0035770000000000003,金融行业,0.33999999999999986,319671.3109892057,1.1637021740976627,6.99,15564550.4789,1.39,4.0763,4.4499,1.06033,1.41878,4.3,2017-05-31
8834,000001.SZ,9.46,9.5,9.43,9.49,0.0325,489746.76,0.004772,金融行业,-0.0600000000000005,380376.02035083197,1.081517914784412,7.4524,13884990.1873,1.22,2.696,2.8915,0.52489,1.2445,4.3,2016-08-31
476,000001.SZ,10.98,11.2,10.94,11.1,0.172627,831622.75,0.010462,金融行业,0.8499999999999996,390216.85312453203,1.8044033508336135,8.2191,19058973.917999998,1.2252,2.839,3.021,2.51375,2.7995,4.31,2019-01-31
4244,000001.SZ,13.21,13.43,13.1,13.3,-0.0012000000000000066,982915.53,0.0029749999999999998,金融行业,0.5800000000000001,418971.19188622094,2.0953672709097155,10.1052,22500926.2358,0.96,4.9352,4.8823,1.56425,1.83707,4.3,2017-12-29
1574,000001.SZ,10.78,11.27,10.78,11.05,0.09066199999999998,2110242.67,0.010364,金融行业,1.0899999999999999,405692.21320124855,1.8878539250957984,8.182,18973122.6842,1.43,2.8,3.282,2.26056,2.60388,4.31,2018-09-28
7586,000001.SZ,9.08,9.1,9.06,9.1,-0.04769999999999999,302607.36,0.003735,金融行业,-0.15000000000000036,316218.1556293419,0.7140327373444826,7.1462,13314374.1522,1.27,3.3059,3.2864,0.77167,1.31767,4.3,2016-12-30
6670,000001.SZ,9.08,9.18,9.08,9.17,-0.032799999999999996,633121.22,0.005612000000000001,金融行业,-0.14000000000000057,281902.37526008615,0.653961772582806,6.9672,15513796.51,1.39,4.3501,4.35,0.98278,1.42322,4.3,2017-03-31
8008,000001.SZ,9.65,9.72,9.5,9.55,0.0431,1025963.05,-0.007306,金融行业,0.3200000000000003,318935.2097038392,0.6038250988486784,7.4995,13972777.2696,1.21,2.8697,3.0604,0.62367,1.28878,4.3,2016-11-30
16670,000001.SZ,11.18,11.22,11.09,11.14,0.03670000000000001,259596.42,8.800000000000001e-05,金融行业,0.15000000000000036,274796.031343378,1.7240228391757497,6.9635,6211554.6888,0.82,4.604,5.0,0.1505,0.3225,5.77,2014-04-30
3207,000001.SZ,11.49,11.51,10.63,10.85,0.0012999999999999956,2709795.68,0.000368,金融行业,-0.7200000000000006,460169.5671146288,2.4520044861295927,8.0339,18356011.9586,1.46,3.899,4.184,1.90701,2.51956,4.31,2018-04-27
14620,000001.SZ,11.27,12.44,11.18,12.44,0.12650000000000003,4844839.36,0.019724,金融行业,1.5099999999999998,964441.2235200184,2.4814066071483682,9.3313,12236869.9146,0.61,4.114,4.3471,0.154,0.3262,5.51,2014-11-28
9550,000001.SZ,10.26,10.57,10.26,10.55,-0.0009999999999999992,946467.16,0.033538,金融行业,0.25,168161.68444578664,0.896276185112402,6.904,12863246.0908,1.32,2.846,2.9822,0.46885,0.9931,4.3,2016-05-31
9090,000001.SZ,9.08,9.24,9.03,9.2,0.05649999999999999,671425.34,-0.005342,金融行业,0.20999999999999908,174085.13648189342,0.7638200049747419,7.2247,13460685.955999998,1.26,2.773,2.936,0.4959,1.1117,4.3,2016-07-29
8126,000001.SZ,9.15,9.16,9.09,9.15,0.008899999999999998,493596.83,-0.001152,金融行业,0.09999999999999964,162540.2726472889,0.438097021217483,7.1854,13387530.0541,1.27,2.7453,2.9,0.53378,1.256,4.3,2016-10-31
2137,000001.SZ,9.37,9.49,9.25,9.42,0.05667699999999999,720150.8,0.000733,金融行业,0.6999999999999993,399670.74292297516,1.8018541134827226,6.9751,16174372.4602,1.68,2.965,3.38,2.08138,2.5305,4.31,2018-07-31
2735,000001.SZ,10.11,10.19,10.02,10.18,-0.061999999999999986,987360.38,0.021218,金融行业,-0.6400000000000006,220421.8285313326,1.2412190580230664,7.5378,17479311.2149,1.55,3.905,4.296,2.0007,2.47375,4.31,2018-05-31
95,000001.SZ,12.44,12.61,12.27,12.36,0.11321200000000003,1113099.8,-0.002453,金融行业,1.1099999999999994,547021.0027431052,2.525843667747388,9.152000000000001,21222425.0114,1.1003,2.694,2.85,2.49038,2.68575,4.31,2019-02-28
1917,000001.SZ,10.13,10.32,10.1,10.13,0.07865200000000006,1310865.24,-0.004951,金融行业,1.3200000000000003,618014.6669683007,2.235477762017461,7.5008,17393459.981,1.56,2.72,3.207,2.11375,2.53563,4.31,2018-08-31
10493,000001.SZ,9.79,9.81,9.42,9.56,-0.042099999999999985,566896.39,-0.023936000000000002,金融行业,-0.22999999999999865,126737.44032845057,2.1273971773036795,6.9079,11284676.1775,1.45,2.8,3.022,0.4405,0.8859,4.3,2016-02-29
14570,000001.SZ,15.61,15.88,15.3,15.84,0.2639,2400065.71,0.022025000000000003,金融行业,0.4800000000000004,888316.1522999618,4.265154627912046,11.8817,15581352.0456,0.48,5.588,4.7442,0.17125,0.3628,5.51,2014-12-31
4457,000001.SZ,13.7,13.73,13.26,13.38,0.1586,1379635.71,-0.011755,金融行业,0.28000000000000114,774509.0767153805,3.1807272753254994,10.1659,22636270.153,0.95,4.072,4.703,1.37188,1.668,4.3,2017-11-30
13177,000001.SZ,16.83,17.26,16.68,16.7,0.26099999999999995,2890635.41,-0.005119,金融行业,-0.3000000000000007,851969.163324045,3.194897924816931,11.5622,19712771.1486,0.67,3.465,4.324,0.181,0.4079,5.3,2015-04-30
4722,000001.SZ,11.55,11.58,11.39,11.54,0.0398,627491.38,-0.000749,金融行业,0.02999999999999936,279301.4798908493,1.4977953798832535,8.7679,19523360.0573,1.1,4.027,4.3978,1.24333,1.57511,4.3,2017-10-31
15920,000001.SZ,10.75,10.9,10.65,10.87,0.09569999999999998,637784.43,0.012162,金融行业,1.2799999999999994,451833.02460223914,1.7209976031359222,8.1537,7273180.7199,0.7,4.2,4.9,0.156,0.3345,5.76,2014-07-31
10071,000001.SZ,10.64,10.64,10.55,10.57,-0.005699999999999992,404977.67,-0.001214,金融行业,-0.3100000000000005,164907.33384356252,0.8908438415343276,6.9171,12476885.69,1.31,2.853,2.927,0.43575,0.90415,4.3,2016-04-29
9252,000001.SZ,8.69,8.74,8.66,8.7,0.0051999999999999946,362204.87,0.000803,金融行业,0.129999999999999,75076.84074592922,0.6482082998540163,6.832000000000001,12729126.9367,1.33,2.887,2.9887,0.46505,0.92415,4.3,2016-06-30
11336,000001.SZ,11.72,11.87,11.5,11.74,0.03799999999999997,658493.89,0.0026479999999999997,金融行业,-0.5999999999999996,552230.8214037607,2.2449701557035477,8.4832,13857960.0757,0.91,2.7,3.2,0.243,0.6599,4.3,2015-11-30
11952,000001.SZ,10.4,10.59,10.39,10.49,-0.0473,364659.73,0.007579,金融行业,-0.41000000000000014,709725.888849216,2.4903679948954633,7.5799,12382453.2534,1.01,3.091,3.341,0.193,0.534,4.55,2015-09-30
11528,000001.SZ,11.3,11.42,11.27,11.36,0.0813,535930.72,0.00021799999999999999,金融行业,0.129999999999999,276795.5446096187,1.2411966000596377,8.2086,13409406.0017,0.94,2.7645,3.2265,0.192,0.55165,4.3,2015-10-30
14050,000001.SZ,13.93,14.12,13.76,13.93,-0.11980000000000002,930116.69,-0.013616,金融行业,-1.4399999999999995,520580.6089309212,2.812477377686738,10.449000000000002,13702540.025,0.96,5.01,4.792,0.17125,0.3574,5.51,2015-01-30
10106,000001.SZ,10.71,10.75,10.64,10.64,0.10940000000000001,418387.92,0.0005639999999999999,金融行业,0.22000000000000064,253555.40909498557,1.2283448212939292,6.9629,12559514.0721,1.31,2.807,2.87,0.43725,0.8997,4.3,2016-03-31
8519,000001.SZ,9.06,9.1,9.05,9.07,-0.04479999999999999,308084.86,0.002742,金融行业,0.009999999999999787,111680.97449118693,0.7036860095238883,7.1226,13270480.611,1.28,2.741,2.887,0.53111,1.23972,4.3,2016-09-30
3422,000001.SZ,11.04,11.05,10.88,10.9,-0.09820000000000001,752173.68,0.001142,金融行业,-0.7400000000000002,298591.20312644803,1.3693081282164663,8.071,18440601.8755,1.45,4.2884,4.5686,0.184,0.42465,4.3,2018-03-30
