TICKER,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,Portfolio Weight,Min TE,MVO,Benchmark Weight
600346.SH,机械行业,1,1,1,3,1,2,0.0000%,0.0000%,0.0000%,0.0970%
600271.SH,电子信息,1,2,3,3,2,2,0.0000%,0.0000%,0.0000%,0.2720%
600276.SH,生物制药,3,2,3,3,3,1,0.0000%,0.0000%,0.0000%,1.3060%
600297.SH,医疗器械,2,2,2,1,2,3,0.0000%,0.0000%,0.0000%,0.1070%
600309.SH,化工行业,3,2,3,1,3,3,0.0000%,0.0000%,0.0000%,0.5370%
600332.SH,生物制药,1,2,3,3,2,1,0.0000%,0.0000%,0.0000%,0.1890%
600339.SH,化工行业,2,2,2,3,1,1,0.0000%,0.0000%,0.0000%,0.0620%
600340.SH,房地产,3,1,2,1,3,3,0.0000%,0.0000%,0.0000%,0.4920%
600398.SH,服装鞋类,2,1,2,1,2,3,0.0000%,0.0000%,0.0000%,0.1590%
600352.SH,化工行业,3,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.2580%
600362.SH,有色金属,2,1,1,3,2,2,0.0000%,0.0000%,0.0000%,0.1380%
600369.SH,金融行业,2,3,3,3,1,2,0.0000%,0.0000%,0.0000%,0.1090%
600372.SH,飞机制造,1,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.0710%
600383.SH,房地产,3,2,2,1,3,3,0.0000%,0.0000%,0.0000%,0.2480%
600390.SH,有色金属,2,1,2,1,1,3,0.0000%,0.0000%,0.0000%,0.0380%
600221.SH,交通运输,2,3,1,1,2,1,0.0000%,0.0000%,0.0000%,0.2130%
600233.SH,服装鞋类,3,1,3,2,1,1,0.0000%,0.0000%,0.0000%,0.0440%
600157.SH,煤炭行业,1,3,3,3,1,2,5.5892%,0.0000%,0.0000%,0.0980%
600219.SH,有色金属,2,3,1,2,1,2,0.0000%,0.0000%,0.0000%,0.1530%
600208.SH,房地产,2,2,1,1,2,2,0.0000%,0.0000%,0.0000%,0.1220%
603799.SH,NaN,1,2,3,1,1,2,0.0000%,0.0000%,0.0000%,0.1310%
603833.SH,NaN,3,1,3,3,1,1,0.0000%,0.0000%,0.0000%,0.1140%
603858.SH,NaN,1,1,1,1,1,3,0.0000%,0.0000%,0.0000%,0.1060%
600104.SH,汽车制造,3,3,2,1,3,3,4.5328%,1.9339%,41.7110%,0.9330%
600109.SH,金融行业,2,3,3,2,1,1,0.0000%,0.0000%,0.0000%,0.1850%
600111.SH,有色金属,1,2,2,3,2,1,0.0000%,0.0000%,0.0000%,0.1870%
600115.SH,交通运输,2,3,1,1,3,1,0.0000%,0.0000%,0.0000%,0.1980%
600118.SH,飞机制造,1,2,2,3,1,1,0.0000%,0.0000%,0.0000%,0.1050%
600153.SH,物资外贸,3,1,1,1,1,3,0.0000%,0.0000%,0.0000%,0.1310%
600415.SH,商业百货,2,2,2,2,1,2,0.0000%,0.0000%,0.0000%,0.0980%
600170.SH,建筑建材,2,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.1420%
600176.SH,玻璃行业,3,2,1,2,2,2,0.0000%,0.0000%,0.0000%,0.2090%
600177.SH,服装鞋类,2,1,1,3,2,3,0.0000%,0.0000%,0.0000%,0.1910%
600188.SH,煤炭行业,2,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.0790%
600196.SH,生物制药,3,2,3,2,2,2,0.0000%,0.0000%,0.0000%,0.2340%
600406.SH,电子信息,2,2,2,3,3,2,0.0000%,0.0000%,0.0000%,0.3520%
600518.SH,生物制药,1,3,3,1,2,3,3.2005%,0.0000%,0.0000%,0.1740%
600436.SH,生物制药,3,1,2,3,3,1,0.0000%,0.0000%,0.0000%,0.2670%
600438.SH,农林牧渔,3,3,3,2,2,2,0.0000%,0.0000%,0.0000%,0.1990%
600674.SH,电力行业,3,1,1,1,2,3,0.0000%,0.0000%,0.0000%,0.1600%
600688.SH,石油行业,2,1,1,1,2,3,0.0000%,0.0000%,0.0000%,0.1140%
