,TICKER,Sector,Benchmark Weight,Portfolio Weight,Active Weight
0,600036.SH,金融行业,0.03016,0.038546987,0.008386987
1,600048.SH,房地产,0.0092,0,-0.0092
2,600066.SH,汽车制造,0.00154,0,-0.00154
3,600068.SH,建筑建材,0.00171,0,-0.00171
4,600085.SH,生物制药,0.00145,0,-0.00145
5,600089.SH,发电设备,0.00261,0,-0.00261
6,600104.SH,汽车制造,0.00933,0.04532844,0.03599844
7,600109.SH,金融行业,0.00185,0,-0.00185
8,600111.SH,有色金属,0.00187,0,-0.00187
9,600115.SH,交通运输,0.00198,0,-0.00198
10,600118.SH,飞机制造,0.00105,0,-0.00105
11,600031.SH,机械行业,0.00498,0,-0.00498
12,600030.SH,金融行业,0.01439,0,-0.01439
13,600000.SH,金融行业,0.01261,0,-0.01261
14,600009.SH,交通运输,0.00476,0,-0.00476
15,600010.SH,钢铁行业,0.00268,0,-0.00268
16,600015.SH,金融行业,0.00466,0,-0.00466
17,600016.SH,金融行业,0.01479,0,-0.01479
18,600028.SH,石油行业,0.00713,0.062184032,0.055054032
19,600029.SH,交通运输,0.00245,0,-0.00245
20,600170.SH,建筑建材,0.00142,0,-0.00142
21,600177.SH,服装鞋类,0.00191,0,-0.00191
22,601328.SH,金融行业,0.01719,0.032367152,0.015177152
23,601398.SH,金融行业,0.01222,0.093789701,0.081569701
24,601601.SH,金融行业,0.0097,0,-0.0097
25,601607.SH,商业百货,0.00186,0,-0.00186
26,601628.SH,金融行业,0.0038,0,-0.0038
27,601668.SH,建筑建材,0.01286,0,-0.01286
28,601688.SH,金融行业,0.00626,0,-0.00626
29,601333.SH,交通运输,0.00119,0,-0.00119
30,601318.SH,金融行业,0.0683,0.042658298,-0.025641702
31,601288.SH,金融行业,0.01427,0.075999584,0.061729584
32,601111.SH,交通运输,0.00246,0,-0.00246
33,601166.SH,金融行业,0.02046,0.036998716,0.016538716
34,601169.SH,金融行业,0.00885,0,-0.00885
35,601186.SH,建筑建材,0.00465,0,-0.00465
36,601800.SH,建筑建材,0.0025,0,-0.0025
37,601998.SH,金融行业,0.00175,0,-0.00175
38,603993.SH,NaN,0.00272,0,-0.00272
39,600188.SH,煤炭行业,0.00079,0,-0.00079
40,601988.SH,金融行业,0.00776,0.058775976,0.051015976
41,601818.SH,金融行业,0.00652,0,-0.00652
42,601857.SH,石油行业,0.00593,0.036976717,0.031046717
43,601939.SH,金融行业,0.00475,0,-0.00475
44,601899.SH,有色金属,0.00361,0,-0.00361
45,601901.SH,金融行业,0.00252,0,-0.00252
46,601933.SH,商业百货,0.00309,0,-0.00309
47,600208.SH,房地产,0.00122,0,-0.00122
48,600383.SH,房地产,0.00248,0,-0.00248
49,600415.SH,商业百货,0.00098,0,-0.00098
50,600489.SH,有色金属,0.00137,0,-0.00137
51,600519.SH,酿酒行业,0.03469,0.093435257,0.058745257
52,600535.SH,生物制药,0.00164,0,-0.00164
53,600372.SH,飞机制造,0.00071,0,-0.00071
54,600196.SH,生物制药,0.00234,0,-0.00234
55,600276.SH,生物制药,0.01306,0,-0.01306
56,600340.SH,房地产,0.00492,0,-0.00492
57,600352.SH,化工行业,0.00258,0,-0.00258
58,600362.SH,有色金属,0.00138,0,-0.00138
59,600583.SH,石油行业,0.00116,0,-0.00116
60,600887.SH,食品行业,0.01471,0,-0.01471
61,600893.SH,飞机制造,0.00198,0,-0.00198
62,600999.SH,金融行业,0.00413,0,-0.00413
63,601006.SH,交通运输,0.00509,0,-0.00509
64,601009.SH,金融行业,0.00415,0,-0.00415
65,600837.SH,金融行业,0.00817,0,-0.00817
66,600585.SH,水泥行业,0.0065,0,-0.0065
67,600588.SH,电子信息,0.00231,0,-0.00231
68,600660.SH,汽车制造,0.00326,0,-0.00326
69,600688.SH,石油行业,0.00114,0,-0.00114
70,600674.SH,电力行业,0.0016,0,-0.0016
71,600703.SH,电子器件,0.0024,0,-0.0024
72,600741.SH,汽车制造,0.00319,0,-0.00319
