,ts_code,sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,weight,MVO,Min_TE
2019-01-31,600741,汽车制造,0.9000000000000021,37457.26477904242,1.6211972262109702,9.7219,6371655.1717,5.2,0.319,0.0,0.0
2019-01-31,600703,电子器件,-0.25,437920.61943266634,3.4003264086664235,12.6443,4000934.8544,2.55,0.24,0.0,0.0
2019-01-31,600674,电力行业,0.5800000000000001,25245.311239133956,1.0127712057020417,12.2704,4005947.8368,3.02,0.16,0.0,0.0
2019-01-31,600688,石油行业,-0.040000000000000036,13580.09977617215,0.5354976652369081,9.0939,3781667.7660000003,5.81,0.114,0.0,0.0
2019-01-31,600660,汽车制造,0.4200000000000017,23151.33339871308,1.0932012519541985,18.5313,4658946.2082,4.94,0.326,0.0,0.0
2019-01-31,600588,电子信息,-0.14000000000000057,82040.51862764596,2.349355205816958,118.7212,4581252.9594,0.47,0.231,0.0,0.0
2019-01-31,600585,水泥行业,1.9699999999999989,57015.639279230854,1.1665959393035197,10.8528,12987034.274,3.7,0.65,0.0,0.0
2019-01-31,600837,金融行业,0.3699999999999992,195210.22517339175,1.9750518879005157,13.4522,8156868.2294,2.28,0.8170000000000001,0.0,0.0
2019-01-31,601009,金融行业,0.40000000000000036,181866.02294803044,1.0953602978013792,6.1238,5920581.131,4.94,0.415,0.0,0.0
2019-01-31,601006,交通运输,0.2400000000000002,64584.2090584836,1.246858168918729,9.5218,12711106.7248,5.5,0.509,0.0,0.0
2019-01-31,600999,金融行业,0.27999999999999936,62772.99925156431,1.7567586505477173,16.685,7066230.9896,2.4,0.413,0.0,0.0
2019-01-31,600893,飞机制造,-0.3000000000000007,21979.601599251026,1.191130777570008,51.5592,4284998.41,0.59,0.198,0.0,0.0
2019-01-31,600887,食品行业,0.10999999999999943,107106.75774169157,1.2452688039132367,24.4912,14604222.2837,2.9,1.4709999999999999,0.0,0.0
2019-01-31,600583,石油行业,0.07000000000000028,36519.36941231968,1.3933959280385284,47.1798,2316789.9152,0.95,0.11599999999999999,0.0,0.0
2019-01-31,600362,有色金属,-0.13000000000000078,34583.781088549826,1.1368504563482746,28.6455,2753853.3064,1.51,0.138,0.0,0.0
2019-01-31,600352,化工行业,0.6799999999999997,75177.46120593573,1.05904629921178,13.0328,3224051.8733,2.52,0.258,0.0,0.0
2019-01-31,600340,房地产,1.2300000000000004,32687.98668347812,1.6571865117946962,9.3339,8064049.5689,3.24,0.49200000000000005,0.0,0.0
2019-01-31,600276,生物制药,1.6899999999999977,80618.60834030858,2.896579546533992,67.6637,21670931.7429,0.17,1.306,0.0,0.0
2019-01-31,600196,生物制药,0.4299999999999997,45950.23077360131,2.066207845371428,19.0558,4438141.1286,1.64,0.23399999999999999,0.0,0.0
2019-01-31,600372,飞机制造,-0.75,21206.1212362927,1.8356706632996935,43.4899,2359063.07,0.45,0.071,0.0,0.0
2019-01-31,600535,生物制药,-0.240000000000002,12728.059699716761,1.2179234799030993,19.8239,2728849.8771,1.58,0.16399999999999998,0.0,0.0
2019-01-31,600519,酿酒行业,30.350000000000023,10878.814689959368,1.8418327186458554,31.9902,86627400.28799999,1.6,3.469,0.0756791283792745,0.0378782618099612
2019-01-31,600489,有色金属,-0.3100000000000005,105550.26203561701,1.6570227385281457,93.9607,2736751.7909,0.38,0.13699999999999998,0.0,0.0
2019-01-31,600415,商业百货,-0.15000000000000036,76750.10226947574,1.904217533863838,13.3902,1954113.8892,2.26,0.098,0.0,0.0
2019-01-31,600383,房地产,0.8100000000000005,101112.52167804335,1.780738076079466,7.2311,4947983.5949,4.84,0.248,0.0,0.0
2019-01-31,600208,房地产,-0.040000000000000036,50088.60831042878,0.7792055113217874,7.3260000000000005,2433282.6536,2.01,0.122,0.0,0.0
2019-01-31,601933,商业百货,-0.07000000000000028,76810.86205550614,0.9010831233988557,42.4583,6422442.8007,1.83,0.309,0.0,0.0
2019-01-31,601901,金融行业,-0.3700000000000001,646485.8786285424,4.060104740262161,34.6744,5038046.0537,0.16,0.252,0.0,0.0
